# Preposition stratum (F1b) -- single-word prepositions, CGEL ch.7.
# Source: literature/00-CGEL.md (Huddleston & Pullum 2002, ch.7).
# FULL inventory per pm ruling 2026-06-10 (freeze F1b = "full inventory of
# single-word prepositions as listed in CGEL ch.7"). scope flag: core96 =
# core + optionally-intransitive + deverbal + temporal + a-prefix/misc
# spatial; extended = directional/archaic tails CGEL also classes as
# prepositions. F7 runs FULL as primary, core96 as sensitivity arm.
# cgel_list = CGEL ch.7 list number (provenance): core-prose(§1 ll.1723-27,
# central-prep ll.18452/18560); 24=deverbal(ll.18704/18709/18711);
# 27=optionally-intransitive(l.18757); 28=here/there/where compounds(l.18765-67);
# 30i/ii/iii/iv/v/vi/vii=spatial(ll.18795-18803); 31=temporal(l.18818).
# Multi-word/complex prepositions (CGEL ch.7 §3, l.18896) excluded per the
# single-word wording. F4 dedup: 'near' (and CGEL-prep 'ago','else','like')
# collide with the boundary set -> dedup toward boundary; log at sample time.
preposition,scope,cgel_list
of,core96,core-prose(§1)
at,core96,core-prose(§1)
from,core96,core-prose(§1)
into,core96,core-prose(§1)
onto,core96,core-prose(§1)
upon,core96,core-prose(§1)
with,core96,core-prose(§1)
as,core96,core-prose(§1)
until,core96,core-prose(§1)
aboard,core96,27
about,core96,27
above,core96,27
across,core96,27
after,core96,27
against,core96,27
along,core96,27
alongside,core96,27
apropos,core96,27
around,core96,27
before,core96,27
behind,core96,27
below,core96,27
beneath,core96,27
besides,core96,27
between,core96,27
beyond,core96,27
by,core96,27
down,core96,27
for,core96,27
in,core96,27
inside,core96,27
near,core96,27
notwithstanding,core96,27
off,core96,27
on,core96,27
opposite,core96,27
outside,core96,27
over,core96,27
past,core96,27
round,core96,27
since,core96,27
through,core96,27
throughout,core96,27
to,core96,27
under,core96,27
underneath,core96,27
up,core96,27
within,core96,27
without,core96,27
according,core96,24
allowing,core96,24
barring,core96,24
concerning,core96,24
counting,core96,24
excepting,core96,24
excluding,core96,24
failing,core96,24
following,core96,24
including,core96,24
owing,core96,24
pertaining,core96,24
regarding,core96,24
respecting,core96,24
saving,core96,24
touching,core96,24
wanting,core96,24
given,core96,24
gone,core96,24
granted,core96,24
provided,core96,24
providing,core96,24
seeing,core96,24
during,core96,24
pending,core96,24
now,core96,31
then,core96,31
when,core96,31
afterwards,core96,31
beforehand,core96,31
henceforth,core96,31
thenceforth,core96,31
abroad,core96,30i
abreast,core96,30i
adrift,core96,30i
aground,core96,30i
ahead,core96,30i
aloft,core96,30i
apart,core96,30i
ashore,core96,30i
aside,core96,30i
away,core96,30i
aft,core96,30iv
back,core96,30iv
forth,core96,30iv
home,core96,30iv
together,core96,30iv
hereat,extended,28i
hereby,extended,28i
herefrom,extended,28i
herein,extended,28i
hereof,extended,28i
hereon,extended,28i
hereto,extended,28i
herewith,extended,28i
thereat,extended,28ii
thereby,extended,28ii
therefrom,extended,28ii
therein,extended,28ii
thereof,extended,28ii
thereon,extended,28ii
thereto,extended,28ii
therewith,extended,28ii
whereat,extended,28iii
whereby,extended,28iii
wherefrom,extended,28iii
wherein,extended,28iii
whereof,extended,28iii
whereon,extended,28iii
whereto,extended,28iii
wherewith,extended,28iii
hereabouts,extended,28abouts
thereabouts,extended,28abouts
whereabouts,extended,28abouts
here,extended,30ii
there,extended,30ii
where,extended,30ii
hence,extended,30ii
thence,extended,30ii
whence,extended,30ii
east,extended,30iii
north,extended,30iii
south,extended,30iii
west,extended,30iii
downhill,extended,30v
downstage,extended,30v
downstairs,extended,30v
downstream,extended,30v
downwind,extended,30v
uphill,extended,30v
upstage,extended,30v
upstairs,extended,30v
upstream,extended,30v
upwind,extended,30v
indoors,extended,30vi
outdoors,extended,30vi
overboard,extended,30vi
overhead,extended,30vi
overland,extended,30vi
overseas,extended,30vi
underfoot,extended,30vi
underground,extended,30vi
backward,extended,30vii
downward,extended,30vii
eastward,extended,30vii
forward,extended,30vii
heavenward,extended,30vii
homeward,extended,30vii
inward,extended,30vii
leftward,extended,30vii
northward,extended,30vii
onward,extended,30vii
outward,extended,30vii
rightward,extended,30vii
seaward,extended,30vii
skyward,extended,30vii
southward,extended,30vii
upward,extended,30vii
westward,extended,30vii
