present_order,sentence,rating_1to7
1,Something was very cosy.,
2,Something was right somewhat.,
3,The from something happened.,
4,Something was owinger than something else.,
5,New the something happened.,
6,This something happened.,
7,The downstream something happened.,
8,The seawardness of something.,
9,Something was enough eleven.,
10,Something was unrap.,
11,Something was very rap.,
12,The neolithicness of something.,
13,The something that something was zero __,
14,The something that something was kurdish __,
15,Following the something happened.,
16,Someone saw public.,
17,Someone saw theme.,
18,Something happened frenchly.,
19,The something with happened.,
20,Something was unsmall.,
21,Ah-ah the something happened.,
22,The saving something happened.,
23,Something was public doing.,
24,Curve the something happened.,
25,Something was old and hence.,
26,"Pedestrian something, something happened.",
27,Pedestrian something happened.,
28,Protecting of the somethings happened.,
29,Something seemed upstairs.,
30,The a something happened.,
31,Something became invisible.,
32,Something was short enough.,
33,Something was off.,
34,Something was more before than something else.,
35,Something happened introducely.,
36,The westness of something.,
37,Something was right none.,
38,Something became clandestine.,
39,Something was old and gilt.,
40,Something was more touching than something else.,
41,The toadness of something.,
42,Something was very endothermic.,
43,Something was more whereabouts than something else.,
44,Something was too gilt.,
45,Something was very centrist.,
46,Something became now.,
47,The something that something was errant __,
48,Something was wrong enough.,
49,Something was old and open.,
50,Something was upward something.,
51,Someone saw underneath.,
52,Something was very seeing.,
53,Most something happened.,
54,Something was onward enough.,
55,Something was enough significant.,
56,Something was too endoscopy.,
57,The something that something was pernickety __,
58,The beforehand something happened.,
59,Something was too herefrom.,
60,Something happened onely.,
61,Something was old-fashioned something.,
62,Something was outward.,
63,Favourite of the somethings happened.,
64,The newish something happened.,
65,"Centrist something, something happened.",
66,Something was more least than something else.,
67,Something was too downhill.,
68,The remain something happened.,
69,Something was here enough.,
70,The something then happened.,
71,Reluctant of the somethings happened.,
72,Something was excludinger than something else.,
73,Something was old and crippling.,
74,The anglo-saxon something happened.,
75,Something was right commercial.,
76,Something was right above.,
77,Something was enough long.,
78,Someone saw at.,
79,Something was acclaimeder than something else.,
80,Something happened withly.,
81,Something was seeing.,
82,Something was too preconceived.,
83,Something was more weepy than something else.,
84,The acclaimed something happened.,
85,Kickable something happened.,
86,Something was old and upstairs.,
87,Something was too double.,
88,Something was many enough.,
89,Something seemed significant.,
90,The something that something was griffin __,
91,Preconceived the something happened.,
92,Something was sorry something.,
93,Something was uneverything.,
94,Something was more near than something else.,
95,The southwardness of something.,
96,Someone saw comedy.,
97,Something became splendid.,
98,Greatly something happened.,
99,Rap something happened.,
100,The anywhereness of something.,
101,Wibbly something happened.,
102,Something was enough along.,
103,Something became old.,
104,Something was breathless enough.,
105,Something was leaner than something else.,
106,Something was lifer than something else.,
107,Something was very unfavourable.,
108,Obscene of the somethings happened.,
109,Something was more bravest than something else.,
110,The unofficial something happened.,
111,Someone saw celebrating.,
112,The something that something was million __,
113,The owingness of something.,
114,The either something happened.,
115,Something was more off than something else.,
116,High-profile the something happened.,
117,Something was old and directorial.,
118,The pygminess of something.,
119,Overland the something happened.,
120,Something was more channel than something else.,
121,Something was right organise.,
122,Something happened therefromly.,
123,Nothing of the somethings happened.,
124,The something that something was home __,
125,Something was special enough.,
126,Something was something.,
127,"Once something, something happened.",
128,Something was a little.,
129,Something was enough off.,
130,Down something happened.,
131,Something was old and wibbly.,
132,Something was very kickable.,
133,The severalness of something.,
134,Something was enough kurdish.,
135,Something was right big.,
136,Something seemed no.,
137,Something was serious doing.,
138,"Many a something, something happened.",
139,Something was herewith.,
140,Something was seventy something.,
141,The something big happened.,
142,Something was mechanistic something.,
143,The therefrom something happened.,
144,The something that something was upon __,
145,Something was spastic doing.,
146,Something was right small.,
147,"Homeless something, something happened.",
148,Something was a few doing.,
149,Whichever something happened.,
150,Something was banal enough.,
151,Something was right behind.,
152,Something was very no one.,
153,Fair something happened.,
154,Something seemed social.,
155,"Hundred something, something happened.",
156,The something hereabouts happened.,
157,Someone saw owing.,
158,Something was inside something.,
159,Something became less.,
160,Something was very lives.,
161,Something was very overspent.,
162,The fewerness of something.,
163,Something was herebier than something else.,
164,Something was the doing.,
165,Something became toad.,
166,Something was reported something.,
167,Something was fossilised something.,
168,Something was choo.,
169,Afterwards of the somethings happened.,
170,Something became over.,
171,Endoscopy the something happened.,
172,The pressuredness of something.,
173,The choo something happened.,
174,The something disloyal happened.,
175,Something was unadrift.,
176,The interestingness of something.,
177,Such something happened.,
178,The curiousness of something.,
179,Something was downwinder than something else.,
180,The daring something happened.,
181,Something was undemocratic.,
182,Something was kyle enough.,
183,Something was right zero.,
184,Something was after doing.,
185,Something was fairer than something else.,
186,Something was too correct.,
187,Something was multiple doing.,
188,Something was old and without.,
189,Interesting of the somethings happened.,
190,Someone saw aside.,
191,Something was more rental than something else.,
192,Something happened showily.,
193,The something czechoslovakian happened.,
194,Something was more outside than something else.,
195,Something was right misguided.,
196,Something was right own.,
197,The something that something was whichever __,
198,Something was czechoslovakian enough.,
199,Someone saw downward.,
200,Something was right hunting.,
201,Together of the somethings happened.,
202,Something was more three than something else.,
203,Something happened reportedly.,
204,Beyond the something happened.,
205,Something was nowhere something.,
206,"Second something, something happened.",
207,Something was approve doing.,
208,The something before happened.,
209,Taliban of the somethings happened.,
210,Something was prosperous.,
211,Something was unonward.,
212,Something was unpurple.,
213,Something happened backly.,
214,Something became southwesterly.,
215,Something became against.,
216,Frederick of the somethings happened.,
217,Something was old and rightward.,
218,Everyone the something happened.,
219,Something seemed diabolical.,
220,The something that something was tentative __,
221,Something became intense.,
222,The something that something was retail __,
223,"Rightward something, something happened.",
224,Something was rollercoaster enough.,
225,Something seemed such.,
226,Someone saw below.,
227,Kyle something happened.,
228,Something was right burned.,
229,Something was endoscopy enough.,
230,Someone saw awesome.,
231,Something was serious enough.,
