present_order,cell_id,lexeme,diagnostic,stratum
1,7632,cosy,very_mod,adjective
2,1612,somewhat,right_mod,determinative
3,2169,from,attributive,preposition
4,3507,owing,inflectional_comparison,preposition
5,6660,new,predeterminer_position,adjective
6,1717,this,determiner_function,determinative
7,5361,downstream,attributive,preposition
8,6018,seaward,ness_nominalization,preposition
9,2022,eleven,enough_preposed,determinative
10,11704,rap,un_prefix,blind
11,11688,rap,very_mod,blind
12,9306,neolithic,ness_nominalization,adjective
13,1967,zero,stranding,determinative
14,11375,kurdish,stranding,adjective
15,3468,following,predeterminer_position,preposition
16,6158,public,fused_head,adjective
17,11630,theme,fused_head,blind
18,6377,french,ly_adverb_base,adjective
19,2267,with,postpositive,preposition
20,6424,small,un_prefix,adjective
21,9828,ah-ah,predeterminer_position,adjective
22,3609,saving,attributive,preposition
23,6152,public,gerund_gap_complement,adjective
24,12708,curve,predeterminer_position,blind
25,5133,hence,coordination_with_adj,preposition
26,8902,pedestrian,fronting_pp,adjective
27,8893,pedestrian,determiner_function,adjective
28,12231,protecting,partitive_of,blind
29,5467,upstairs,seem_complement,preposition
30,393,a,attributive,determinative
31,7748,invisible,become_complement,adjective
32,6725,short,enough_postposed,adjective
33,2890,off,predicative_be,preposition
34,2570,before,comparative_more,preposition
35,11609,introduce,ly_adverb_base,blind
36,5274,west,ness_nominalization,preposition
37,1204,none,right_mod,determinative
38,11228,clandestine,become_complement,adjective
39,11853,gilt,coordination_with_adj,blind
40,3626,touching,comparative_more,preposition
41,12282,toad,ness_nominalization,blind
42,10080,endothermic,very_mod,adjective
43,5018,whereabouts,comparative_more,preposition
44,11833,gilt,too_mod,blind
45,10224,centrist,very_mod,adjective
46,3884,now,become_complement,preposition
47,10919,errant,stranding,adjective
48,6677,wrong,enough_postposed,adjective
49,7173,open,coordination_with_adj,adjective
50,6079,upward,np_complement,preposition
51,3182,underneath,fused_head,preposition
52,3792,seeing,very_mod,preposition
53,1069,most,determiner_function,determinative
54,5933,onward,enough_postposed,preposition
55,7974,significant,enough_preposed,adjective
56,10825,endoscopy,too_mod,adjective
57,10583,pernickety,stranding,adjective
58,3969,beforehand,attributive,preposition
59,4441,herefrom,too_mod,preposition
60,1337,one,ly_adverb_base,determinative
61,7855,old-fashioned,np_complement,adjective
62,5962,outward,predicative_be,preposition
63,6231,favourite,partitive_of,adjective
64,10713,newish,attributive,adjective
65,10246,centrist,fronting_pp,adjective
66,986,least,comparative_more,determinative
67,5281,downhill,too_mod,preposition
68,11529,remain,attributive,blind
69,5045,here,enough_postposed,preposition
70,3899,then,postpositive,preposition
71,9639,reluctant,partitive_of,adjective
72,3411,excluding,inflectional_comparison,preposition
73,8997,crippling,coordination_with_adj,adjective
74,8769,anglo-saxon,attributive,adjective
75,8068,commercial,right_mod,adjective
76,2380,above,right_mod,preposition
77,7254,long,enough_preposed,adjective
78,2150,at,fused_head,preposition
79,9219,acclaimed,inflectional_comparison,adjective
80,2273,with,ly_adverb_base,preposition
81,3802,seeing,predicative_be,preposition
82,11113,preconceived,too_mod,adjective
83,11234,weepy,comparative_more,adjective
84,9225,acclaimed,attributive,adjective
85,10645,kickable,determiner_function,adjective
86,5469,upstairs,coordination_with_adj,preposition
87,6961,double,too_mod,adjective
